Datetime	Emma	Callum
2017-06-29 04:03	0	61
2017-06-29 04:03	0	61
2017-06-29 04:04	0	61
2017-06-29 04:05	0	61
2017-06-29 04:06	0	60
2017-06-29 04:06	1	60
2017-06-29 04:07	0	61
2017-06-29 04:08	0	61
2017-06-29 04:09	0	61
2017-06-29 04:09	0	61
2017-06-29 04:10	1	61
2017-06-29 04:11	0	61
2017-06-29 04:12	0	61
2017-06-29 04:12	1	61
2017-06-29 04:13	2	61
2017-06-29 04:14	1	61
2017-06-29 04:15	1	61
2017-06-29 04:15	1	61
2017-06-29 04:16	1	61
2017-06-29 04:17	1	61
2017-06-29 04:18	2	61
2017-06-29 04:18	2	61
2017-06-29 04:19	2	61
2017-06-29 04:20	2	61
2017-06-29 04:21	3	61
2017-06-29 04:21	4	61
2017-06-29 04:22	3	61
2017-06-29 04:23	4	61
2017-06-29 04:24	4	61
2017-06-29 04:24	5	61
2017-06-29 04:25	5	61
2017-06-29 04:26	5	62
2017-06-29 04:27	6	61
2017-06-29 04:27	7	62
2017-06-29 04:28	8	62
2017-06-29 04:29	9	62
2017-06-29 04:30	10	62
2017-06-29 04:30	11	62
2017-06-29 04:31	11	62
2017-06-29 04:32	13	62
2017-06-29 04:33	14	63
2017-06-29 04:33	16	62
2017-06-29 04:34	17	63
2017-06-29 04:35	17	62
2017-06-29 04:36	19	63
2017-06-29 04:36	20	63
2017-06-29 04:37	21	63
2017-06-29 04:38	23	63
2017-06-29 04:39	23	63
2017-06-29 04:39	24	63
2017-06-29 04:40	25	63
2017-06-29 04:41	27	64
2017-06-29 04:42	27	64
2017-06-29 04:42	29	64
2017-06-29 04:43	30	64
2017-06-29 04:44	31	64
2017-06-29 04:45	33	64
2017-06-29 04:45	34	64
2017-06-29 04:46	37	65
2017-06-29 04:47	40	65
2017-06-29 04:48	42	65
2017-06-29 04:48	45	66
2017-06-29 04:49	48	66
2017-06-29 04:50	50	66
2017-06-29 04:51	52	66
2017-06-29 04:51	54	66
2017-06-29 04:52	55	67
2017-06-29 04:53	57	66
2017-06-29 04:54	59	66
2017-06-29 04:54	61	67
2017-06-29 04:55	63	67
2017-06-29 04:56	65	67
2017-06-29 04:57	68	68
2017-06-29 04:57	71	68
2017-06-29 04:58	73	68
2017-06-29 04:59	76	69
2017-06-29 05:00	79	69
2017-06-29 05:00	80	69
2017-06-29 05:01	82	69
2017-06-29 05:02	82	69
2017-06-29 05:03	82	69
